
Minimum time:  760	(0.076 ms)

Test #		Time
888:		808	(0.0808 ms)
889:		807	(0.0807 ms)
890:		840	(0.084 ms)
891:		812	(0.0812 ms)
892:		808	(0.0808 ms)
893:		844	(0.0844 ms)
894:		806	(0.0806 ms)
895:		807	(0.0807 ms)
896:		841	(0.0841 ms)
897:		802	(0.0802 ms)
898:		805	(0.0805 ms)
899:		837	(0.0837 ms)
900:		804	(0.0804 ms)
901:		801	(0.0801 ms)
902:		801	(0.0801 ms)
903:		863	(0.0863 ms)
904:		807	(0.0807 ms)
905:		801	(0.0801 ms)
906:		843	(0.0843 ms)
907:		805	(0.0805 ms)
908:		803	(0.0803 ms)
909:		840	(0.084 ms)
910:		813	(0.0813 ms)
911:		799	(0.0799 ms)
912:		838	(0.0838 ms)
913:		805	(0.0805 ms)
914:		764	(0.0764 ms)
915:		813	(0.0813 ms)
916:		802	(0.0802 ms)
917:		801	(0.0801 ms)
918:		854	(0.0854 ms)
919:		813	(0.0813 ms)
920:		806	(0.0806 ms)
921:		846	(0.0846 ms)
922:		808	(0.0808 ms)
923:		796	(0.0796 ms)
924:		842	(0.0842 ms)
925:		808	(0.0808 ms)
926:		802	(0.0802 ms)
927:		843	(0.0843 ms)
928:		806	(0.0806 ms)
